category,count,failure_rate,unsupported_root_cause_rate,unsupported_safety_claim_rate
candle,198,0.8333333333333334,0.0,0.0
capsules,179,0.6927374301675978,0.0,0.0
cashew,172,0.7209302325581395,0.0,0.005813953488372093
chewinggum,178,0.8258426966292135,0.0,0.0
fryum,168,0.8095238095238095,0.0,0.0
macaroni1,201,0.8805970149253731,0.0,0.0
macaroni2,194,0.8608247422680413,0.02577319587628866,0.0
pcb1,153,0.8431372549019608,0.0,0.0
pcb2,148,0.831081081081081,0.0,0.0
pcb3,161,0.8385093167701864,0.006211180124223602,0.0
pcb4,181,0.861878453038674,0.0,0.0
pipe_fryum,167,0.9401197604790419,0.005988023952095809,0.0
