category,count,failure_rate,unsupported_root_cause_rate,unsupported_safety_claim_rate
candle,198,0.8080808080808081,0.0,0.0
capsules,179,0.6703910614525139,0.0,0.0
cashew,172,0.686046511627907,0.0,0.005813953488372093
chewinggum,178,0.7752808988764045,0.0,0.0
fryum,168,0.7857142857142857,0.0,0.0
macaroni1,201,0.8805970149253731,0.0,0.0
macaroni2,194,0.8556701030927835,0.02577319587628866,0.0
pcb1,153,0.9215686274509803,0.0,0.0
pcb2,148,0.831081081081081,0.0,0.0
pcb3,161,0.906832298136646,0.006211180124223602,0.0
pcb4,181,0.856353591160221,0.0,0.0
pipe_fryum,167,0.9221556886227545,0.005988023952095809,0.0
